Age;Gender;Location;Subscription Status;Frequency of Purchases;Item Purchased;Review Rating
18;Male;Michigan;No;Quarterly;['Sunglasses'];[2.6]
18;Male;Minnesota;No;Bi-Weekly;['Skirt'];[4.2]
18;Male;Minnesota;No;Fortnightly;['Sneakers'];[4.7]
18;Male;Mississippi;No;Fortnightly;['Coat'];[4.2]
18;Male;Montana;Yes;Weekly;['Shirt'];[3.4]
18;Male;Nebraska;No;Quarterly;['Gloves'];[4.3]
18;Male;Nevada;No;Bi-Weekly;['Skirt'];[3.8]
18;Male;New Hampshire;No;Quarterly;['Blouse'];[2.6]
18;Male;New Hampshire;Yes;Annually;['Socks'];[2.9]
18;Male;New Jersey;No;Bi-Weekly;['Scarf'];[4.2]
18;Male;New York;No;Every 3 Months;['Socks'];[2.5]
18;Male;North Dakota;No;Fortnightly;['Jacket'];[4.2]
18;Male;Ohio;Yes;Weekly;['Boots'];[3.9]
18;Male;Oklahoma;No;Monthly;['Coat'];[4.4]
18;Male;Oregon;Yes;Every 3 Months;['Sweater'];[3.2]
18;Male;Pennsylvania;No;Monthly;['Coat'];[4.4]
18;Male;Pennsylvania;No;Quarterly;['Dress'];[2.7]
18;Male;South Carolina;No;Quarterly;['Boots'];[3.8]
18;Male;South Dakota;No;Annually;['Skirt'];[2.9]
18;Male;Tennessee;No;Fortnightly;['Sandals'];[3.4]
18;Male;Texas;No;Weekly;['Sandals'];[4.4]
18;Male;Texas;Yes;Annually;['Hoodie'];[3.6]
18;Male;Vermont;No;Every 3 Months;['Socks'];[4.8]
18;Male;Virginia;No;Quarterly;['Gloves'];[2.6]
18;Male;West Virginia;No;Every 3 Months;['Blouse'];[3.9]
18;Male;Wisconsin;No;Monthly;['Skirt'];[4.4]
19;Female;Alabama;No;Quarterly;['Scarf'];[2.6]
19;Female;Alaska;No;Fortnightly;['Sneakers'];[4.1]
19;Female;Arkansas;No;Fortnightly;['Shoes'];[3.1]
19;Female;Florida;No;Quarterly;['Skirt'];[4.8]
19;Female;Georgia;No;Fortnightly;['Shirt'];[2.7]
19;Female;Iowa;No;Fortnightly;['Sweater'];[3.0]
19;Female;Iowa;No;Weekly;['Backpack'];[3.4]
19;Female;Kentucky;No;Bi-Weekly;['Hat', 'Jewelry'];[3.4, 4.9]
19;Female;Maryland;No;Bi-Weekly;['Sunglasses'];[3.7]
19;Female;Minnesota;No;Fortnightly;['Sandals'];[4.9]
19;Female;Mississippi;No;Annually;['Coat'];[3.8]
19;Female;New Jersey;No;Bi-Weekly;['Blouse'];[2.7]
19;Female;New York;No;Monthly;['Coat'];[3.2]
19;Female;New York;No;Weekly;['Sunglasses'];[4.9]
19;Female;Ohio;No;Weekly;['Dress'];[3.0]
19;Female;Pennsylvania;No;Fortnightly;['Sunglasses'];[4.9]
19;Female;South Dakota;No;Bi-Weekly;['Dress'];[4.0]
19;Female;Texas;No;Annually;['Blouse'];[3.8]
19;Female;Texas;No;Bi-Weekly;['Handbag'];[4.6]
19;Female;Texas;No;Every 3 Months;['Hoodie'];[3.9]
19;Female;Utah;No;Annually;['Jacket'];[3.9]
19;Female;Vermont;No;Bi-Weekly;['Sweater'];[4.8]
19;Female;Virginia;No;Quarterly;['Skirt'];[4.5]
19;Female;West Virginia;No;Bi-Weekly;['Coat'];[4.5]
19;Female;West Virginia;No;Fortnightly;['Coat'];[3.5]
19;Female;Wisconsin;No;Monthly;['Jewelry'];[4.9]
19;Male;Alabama;No;Monthly;['Shoes'];[4.0]
19;Male;Alabama;Yes;Annually;['Skirt'];[3.7]
19;Male;Arizona;Yes;Every 3 Months;['Sweater'];[4.5]
19;Male;Arkansas;No;Quarterly;['Pants'];[3.8]
19;Male;Arkansas;Yes;Fortnightly;['Coat'];[4.9]
19;Male;California;No;Weekly;['Belt'];[3.1]
19;Male;Georgia;No;Every 3 Months;['Boots'];[3.4]
19;Male;Georgia;Yes;Bi-Weekly;['Shoes'];[3.3]
19;Male;Georgia;Yes;Every 3 Months;['Pants'];[4.0]
19;Male;Illinois;No;Every 3 Months;['Pants'];[3.6]
19;Male;Illinois;No;Monthly;['Socks'];[2.9]
19;Male;Kansas;No;Every 3 Months;['Sneakers'];[2.9]
19;Male;Maine;No;Every 3 Months;['Jeans'];[2.7]
19;Male;Maine;Yes;Fortnightly;['Sweater'];[3.1]
19;Male;Massachusetts;No;Fortnightly;['Gloves'];[4.6]
19;Male;Michigan;No;Annually;['Dress'];[3.6]
19;Male;Michigan;No;Fortnightly;['Sunglasses'];[4.3]
19;Male;Minnesota;No;Weekly;['Handbag'];[5.0]
19;Male;Minnesota;Yes;Quarterly;['Belt'];[4.4]
19;Male;Montana;No;Fortnightly;['Shorts'];[3.6]
19;Male;Montana;Yes;Quarterly;['Pants'];[4.6]
19;Male;Nebraska;No;Annually;['Hat'];[3.1]
19;Male;Nebraska;No;Bi-Weekly;['T-shirt'];[4.6]
19;Male;Nebraska;No;Every 3 Months;['Scarf'];[2.5]
19;Male;Nebraska;No;Fortnightly;['Belt'];[3.2]
19;Male;Nebraska;Yes;Every 3 Months;['Backpack', 'Backpack'];[4.5, 4.6]
19;Male;Nevada;Yes;Annually;['Sneakers'];[4.5]
19;Male;Nevada;Yes;Bi-Weekly;['Shoes'];[4.7]
19;Male;New Jersey;Yes;Monthly;['Shoes'];[3.2]
19;Male;New York;Yes;Every 3 Months;['Sandals'];[3.3]
19;Male;New York;Yes;Monthly;['Shirt', 'Gloves'];[2.8, 3.3]
19;Male;North Carolina;No;Fortnightly;['Sweater', 'Blouse'];[2.6, 4.8]
19;Male;Oklahoma;Yes;Weekly;['Jacket'];[3.1]
19;Male;Pennsylvania;No;Every 3 Months;['Scarf'];[3.3]
19;Male;Pennsylvania;Yes;Every 3 Months;['Hoodie'];[4.7]
19;Male;Rhode Island;No;Quarterly;['Blouse'];[5.0]
19;Male;South Dakota;No;Annually;['Dress'];[3.3]
19;Male;South Dakota;No;Every 3 Months;['Dress'];[3.6]
19;Male;Tennessee;No;Quarterly;['Coat'];[3.0]
19;Male;Utah;Yes;Monthly;['Shorts'];[3.6]
19;Male;Vermont;No;Bi-Weekly;['Sweater'];[2.5]
19;Male;Vermont;No;Every 3 Months;['T-shirt'];[3.7]
19;Male;Vermont;Yes;Annually;['Sneakers'];[3.3]
19;Male;Virginia;Yes;Fortnightly;['Shorts'];[4.2]
19;Male;Washington;No;Monthly;['Shirt'];[5.0]
19;Male;Washington;No;Quarterly;['Socks'];[4.4]
19;Male;West Virginia;Yes;Monthly;['Shirt'];[4.1]
19;Male;West Virginia;Yes;Quarterly;['Gloves'];[3.3]
19;Male;Wyoming;No;Annually;['Belt'];[4.5]
19;Male;Wyoming;No;Fortnightly;['Sunglasses'];[4.5]
19;Male;Wyoming;No;Quarterly;['Backpack'];[3.2]
20;Female;Alaska;No;Quarterly;['Blouse'];[4.2]
20;Female;Arizona;No;Every 3 Months;['Handbag'];[3.8]
20;Female;Massachusetts;No;Every 3 Months;['Sweater'];[3.8]
20;Female;Mississippi;No;Fortnightly;['Belt'];[3.4]
20;Female;Nebraska;No;Fortnightly;['Gloves'];[3.6]
20;Female;Nevada;No;Every 3 Months;['Belt'];[3.0]
20;Female;Oregon;No;Every 3 Months;['Sneakers'];[4.6]
20;Female;Pennsylvania;No;Every 3 Months;['Pants'];[4.1]
20;Female;Vermont;No;Monthly;['Shorts'];[3.6]
20;Female;Wisconsin;No;Bi-Weekly;['Blouse'];[3.1]
20;Female;Wisconsin;No;Fortnightly;['Handbag'];[4.6]
20;Female;Wyoming;No;Bi-Weekly;['Sweater'];[2.9]
20;Male;Alabama;No;Annually;['Pants'];[3.7]
20;Male;Alabama;No;Bi-Weekly;['Skirt'];[4.2]
20;Male;Alaska;No;Every 3 Months;['Belt'];[3.4]
20;Male;California;Yes;Fortnightly;['Scarf'];[4.7]
20;Male;Connecticut;No;Fortnightly;['Shirt'];[2.8]
20;Male;Georgia;No;Bi-Weekly;['Backpack'];[3.1]
20;Male;Georgia;Yes;Quarterly;['Jeans'];[3.9]
20;Male;Hawaii;No;Every 3 Months;['Shoes'];[4.8]
20;Male;Hawaii;No;Weekly;['Skirt'];[2.9]
20;Male;Idaho;No;Fortnightly;['Sweater'];[2.9]
20;Male;Idaho;Yes;Every 3 Months;['Belt'];[3.4]
20;Male;Indiana;No;Annually;['T-shirt'];[2.8]
20;Male;Maine;No;Annually;['Boots'];[4.0]
20;Male;Maine;No;Every 3 Months;['Coat'];[4.6]
20;Male;Maine;No;Fortnightly;['Shoes'];[4.8]
20;Male;Massachusetts;No;Weekly;['Belt'];[2.5]
20;Male;Minnesota;No;Weekly;['Skirt'];[3.5]
20;Male;Mississippi;No;Fortnightly;['Shirt'];[2.7]
20;Male;Mississippi;Yes;Monthly;['Handbag'];[3.1]
20;Male;Missouri;No;Weekly;['Dress'];[4.3]
20;Male;Montana;No;Quarterly;['Sweater'];[4.9]
20;Male;Montana;No;Weekly;['Boots'];[4.7]
20;Male;Montana;Yes;Every 3 Months;['Boots'];[4.6]
20;Male;Nevada;No;Bi-Weekly;['Jeans'];[4.5]
20;Male;New Hampshire;No;Annually;['Dress'];[4.6]
20;Male;New Hampshire;No;Quarterly;['Hoodie'];[4.2]
20;Male;New York;Yes;Annually;['Jeans'];[2.6]
20;Male;North Dakota;No;Annually;['Sweater'];[4.0]
20;Male;North Dakota;No;Every 3 Months;['Blouse'];[4.0]
20;Male;North Dakota;No;Quarterly;['Blouse', 'Jacket'];[4.9, 4.3]
20;Male;North Dakota;Yes;Fortnightly;['Scarf'];[3.6]
20;Male;Oklahoma;Yes;Fortnightly;['Shirt'];[3.5]
20;Male;Oregon;No;Every 3 Months;['Socks'];[4.2]
20;Male;Oregon;No;Monthly;['Jeans'];[3.4]
20;Male;Oregon;Yes;Every 3 Months;['Sweater'];[3.7]
20;Male;Oregon;Yes;Weekly;['Sandals'];[3.3]
20;Male;Pennsylvania;Yes;Every 3 Months;['Skirt'];[3.9]
20;Male;South Dakota;Yes;Weekly;['Gloves'];[3.7]
20;Male;Tennessee;No;Annually;['Socks'];[3.4]
20;Male;Tennessee;No;Fortnightly;['Skirt'];[4.9]
20;Male;Tennessee;Yes;Annually;['Coat'];[4.1]
20;Male;Utah;Yes;Bi-Weekly;['Hat'];[4.6]
20;Male;Vermont;No;Quarterly;['Pants'];[3.4]
20;Male;Vermont;No;Weekly;['T-shirt'];[4.9]
20;Male;Washington;Yes;Bi-Weekly;['Belt'];[4.6]
20;Male;West Virginia;Yes;Quarterly;['Handbag'];[4.5]
20;Male;Wisconsin;No;Annually;['Boots'];[2.9]
20;Male;Wisconsin;Yes;Bi-Weekly;['Shorts'];[2.7]
20;Male;Wyoming;Yes;Annually;['Pants'];[4.8]
21;Female;Arkansas;No;Annually;['Jewelry'];[3.3]
21;Female;Arkansas;No;Bi-Weekly;['Handbag'];[4.7]
21;Female;Colorado;No;Fortnightly;['Sneakers'];[4.9]
21;Female;Delaware;No;Annually;['Pants'];[4.9]
21;Female;Delaware;No;Every 3 Months;['Socks'];[4.2]
21;Female;Indiana;No;Every 3 Months;['Sweater'];[4.9]
21;Female;Kansas;No;Quarterly;['Belt'];[4.9]
21;Female;Maine;No;Fortnightly;['Belt'];[3.1]
21;Female;Massachusetts;No;Bi-Weekly;['Hat'];[3.3]
21;Female;New Hampshire;No;Annually;['T-shirt'];[3.2]
21;Female;New Hampshire;No;Monthly;['Sandals'];[3.5]
21;Female;New Mexico;No;Monthly;['Socks'];[3.0]
21;Female;North Carolina;No;Quarterly;['Boots', 'Hat'];[2.7, 4.7]
21;Female;Oklahoma;No;Bi-Weekly;['T-shirt'];[2.6]
21;Female;South Carolina;No;Quarterly;['Hat'];[3.6]
21;Female;South Dakota;No;Annually;['Blouse'];[3.1]
21;Female;Vermont;No;Bi-Weekly;['Sneakers'];[4.1]
21;Female;Virginia;No;Annually;['Shirt'];[4.9]
21;Male;Alabama;No;Annually;['Dress'];[4.1]
21;Male;Alabama;Yes;Bi-Weekly;['Shorts'];[4.1]
21;Male;Alaska;No;Fortnightly;['Backpack'];[3.3]
21;Male;Alaska;Yes;Every 3 Months;['Socks'];[4.2]
21;Male;California;Yes;Annually;['Jeans'];[4.9]
21;Male;California;Yes;Every 3 Months;['Dress'];[3.2]
21;Male;California;Yes;Monthly;['Pants'];[4.3]
21;Male;Connecticut;Yes;Fortnightly;['Scarf'];[3.5]
21;Male;Florida;No;Annually;['Jewelry'];[4.7]
21;Male;Georgia;No;Annually;['Jewelry'];[3.3]
21;Male;Hawaii;No;Bi-Weekly;['Blouse', 'Sneakers'];[3.4, 4.5]
21;Male;Hawaii;No;Weekly;['Hoodie', 'Coat'];[4.9, 4.3]
21;Male;Idaho;No;Monthly;['Backpack'];[3.1]
21;Male;Indiana;No;Every 3 Months;['Blouse'];[2.6]
21;Male;Iowa;No;Annually;['Sweater'];[4.6]
21;Male;Iowa;No;Quarterly;['Hat'];[4.4]
21;Male;Kansas;Yes;Monthly;['Hoodie'];[3.7]
21;Male;Louisiana;Yes;Every 3 Months;['Pants'];[2.8]
21;Male;Maine;No;Annually;['Hat'];[3.8]
21;Male;Maine;No;Every 3 Months;['Socks'];[4.8]
21;Male;Maryland;No;Monthly;['Blouse'];[3.8]
21;Male;Michigan;Yes;Quarterly;['Pants'];[4.5]
21;Male;Minnesota;No;Bi-Weekly;['T-shirt'];[2.8]
21;Male;Minnesota;No;Weekly;['Jewelry'];[4.2]
21;Male;Minnesota;Yes;Monthly;['Skirt'];[3.0]
21;Male;New Hampshire;Yes;Fortnightly;['Blouse'];[3.0]
21;Male;New York;No;Bi-Weekly;['Belt'];[3.9]
21;Male;North Carolina;No;Annually;['Dress'];[4.7]
21;Male;North Carolina;No;Monthly;['T-shirt', 'Socks'];[4.7, 4.0]
21;Male;North Carolina;Yes;Weekly;['Sunglasses'];[4.9]
21;Male;Ohio;Yes;Annually;['Sneakers'];[2.7]
21;Male;Oklahoma;Yes;Annually;['Jacket'];[2.5]
21;Male;Rhode Island;Yes;Weekly;['Sandals'];[3.5]
21;Male;South Carolina;No;Bi-Weekly;['Socks'];[3.2]
21;Male;South Carolina;Yes;Every 3 Months;['T-shirt'];[4.3]
21;Male;South Carolina;Yes;Weekly;['Boots'];[2.5]
21;Male;Tennessee;No;Weekly;['Gloves'];[4.1]
21;Male;Tennessee;Yes;Fortnightly;['Sweater'];[3.4]
21;Male;Virginia;Yes;Annually;['Shoes'];[4.8]
21;Male;Washington;No;Annually;['Dress'];[4.2]
21;Male;West Virginia;No;Annually;['Coat'];[2.7]
21;Male;West Virginia;Yes;Annually;['Shirt'];[3.9]
21;Male;West Virginia;Yes;Fortnightly;['Coat'];[4.4]
21;Male;Wisconsin;No;Quarterly;['Belt'];[3.2]
21;Male;Wisconsin;No;Weekly;['Shirt'];[4.9]
21;Male;Wyoming;Yes;Annually;['Handbag'];[2.5]
21;Male;Wyoming;Yes;Fortnightly;['Coat'];[2.9]
22;Female;Alabama;No;Weekly;['Sweater'];[2.6]
22;Female;Arkansas;No;Every 3 Months;['Dress'];[2.8]
22;Female;California;No;Weekly;['T-shirt'];[3.2]
22;Female;Georgia;No;Weekly;['Sandals'];[2.7]
22;Female;Hawaii;No;Fortnightly;['Coat'];[3.1]
22;Female;Idaho;No;Quarterly;['Belt'];[3.6]
22;Female;Illinois;No;Quarterly;['Pants'];[3.5]
22;Female;Illinois;No;Weekly;['Jewelry'];[3.2]
22;Female;Iowa;No;Bi-Weekly;['Shoes'];[4.4]
22;Female;Iowa;No;Every 3 Months;['Jeans'];[4.1]
22;Female;Iowa;No;Quarterly;['Sunglasses'];[2.9]
22;Female;Kentucky;No;Quarterly;['Sunglasses'];[2.9]
22;Female;Louisiana;No;Every 3 Months;['Hoodie'];[4.4]
22;Female;Maine;No;Monthly;['Pants'];[4.3]
22;Female;Minnesota;No;Every 3 Months;['Jacket'];[3.3]
22;Female;Missouri;No;Bi-Weekly;['Jewelry'];[4.3]
22;Female;Montana;No;Annually;['Handbag'];[4.3]
22;Female;Nevada;No;Annually;['Blouse'];[3.7]
22;Female;Nevada;No;Monthly;['Dress'];[3.2]
22;Female;New Hampshire;No;Every 3 Months;['Jewelry'];[3.0]
22;Female;New Jersey;No;Every 3 Months;['Socks'];[3.0]
22;Female;Ohio;No;Quarterly;['Hat'];[4.1]
22;Female;Oklahoma;No;Annually;['Jacket'];[3.5]
22;Female;Pennsylvania;No;Every 3 Months;['Hat'];[3.0]
22;Female;Pennsylvania;No;Quarterly;['T-shirt'];[4.2]
22;Female;Rhode Island;No;Weekly;['Socks'];[3.2]
22;Female;Texas;No;Bi-Weekly;['Hat'];[5.0]
22;Female;Virginia;No;Bi-Weekly;['Shorts'];[4.9]
22;Male;Alabama;Yes;Every 3 Months;['Belt'];[4.2]
22;Male;Arizona;Yes;Monthly;['Jeans'];[4.9]
22;Male;California;No;Every 3 Months;['Jeans', 'Backpack'];[4.6, 4.5]
22;Male;California;No;Monthly;['Scarf'];[4.0]
22;Male;Delaware;Yes;Fortnightly;['Dress'];[3.3]
22;Male;Florida;Yes;Annually;['Shirt'];[4.6]
22;Male;Hawaii;No;Annually;['Shirt'];[4.2]
22;Male;Hawaii;No;Bi-Weekly;['Handbag'];[3.2]
22;Male;Hawaii;Yes;Annually;['Sunglasses'];[3.6]
22;Male;Hawaii;Yes;Fortnightly;['Sweater'];[2.6]
22;Male;Illinois;No;Annually;['Gloves'];[4.2]
22;Male;Kentucky;No;Fortnightly;['Shoes'];[2.8]
22;Male;Louisiana;Yes;Quarterly;['Sweater'];[4.9]
22;Male;Maine;No;Annually;['Scarf'];[4.9]
22;Male;Massachusetts;No;Bi-Weekly;['Socks'];[4.4]
22;Male;Michigan;No;Every 3 Months;['Pants'];[4.0]
22;Male;Michigan;Yes;Weekly;['Hoodie'];[4.1]
22;Male;Mississippi;No;Every 3 Months;['Handbag'];[3.0]
22;Male;Mississippi;No;Weekly;['Coat'];[2.7]
22;Male;Mississippi;Yes;Annually;['Belt'];[3.0]
22;Male;Missouri;No;Annually;['Shirt'];[4.8]
22;Male;Nebraska;No;Fortnightly;['Gloves'];[3.4]
22;Male;Nevada;No;Monthly;['T-shirt'];[4.2]
22;Male;New Mexico;No;Fortnightly;['Jacket'];[3.1]
22;Male;New Mexico;Yes;Annually;['Scarf'];[3.6]
22;Male;New York;No;Bi-Weekly;['Shoes'];[4.1]
22;Male;New York;No;Quarterly;['Handbag'];[2.7]
22;Male;North Carolina;No;Monthly;['Jacket'];[2.5]
22;Male;Pennsylvania;No;Monthly;['Sneakers'];[4.0]
22;Male;South Carolina;Yes;Monthly;['Hat'];[5.0]
22;Male;Tennessee;No;Monthly;['Skirt'];[4.1]
22;Male;Tennessee;Yes;Quarterly;['Sandals'];[3.4]
22;Male;Texas;No;Monthly;['Socks'];[4.1]
22;Male;Utah;No;Weekly;['Pants'];[3.6]
22;Male;Virginia;Yes;Fortnightly;['Scarf'];[4.1]
22;Male;Washington;Yes;Quarterly;['Handbag'];[2.7]
22;Male;West Virginia;Yes;Every 3 Months;['T-shirt'];[4.7]
23;Female;Arizona;No;Bi-Weekly;['Jacket'];[4.4]
23;Female;Arkansas;No;Every 3 Months;['Jeans'];[2.8]
23;Female;California;No;Annually;['Shorts'];[3.4]
23;Female;Connecticut;No;Bi-Weekly;['Hoodie'];[4.6]
23;Female;Georgia;No;Fortnightly;['Socks'];[3.0]
23;Female;Idaho;No;Annually;['Coat'];[4.1]
23;Female;Kansas;No;Quarterly;['Sneakers'];[4.0]
23;Female;Kentucky;No;Bi-Weekly;['Sandals'];[2.8]
23;Female;Kentucky;No;Fortnightly;['Jacket'];[4.0]
23;Female;Louisiana;No;Annually;['Dress'];[4.7]
23;Female;Maine;No;Every 3 Months;['T-shirt'];[3.9]
23;Female;Maine;No;Fortnightly;['Hat'];[2.8]
23;Female;Maine;No;Quarterly;['Boots'];[2.6]
23;Female;Maryland;No;Monthly;['Shorts'];[3.3]
23;Female;Massachusetts;No;Monthly;['Shoes'];[4.8]
23;Female;Michigan;No;Annually;['Sunglasses'];[3.5]
23;Female;Minnesota;No;Weekly;['Coat'];[2.9]
23;Female;Montana;No;Weekly;['Pants'];[4.0]
23;Female;New Hampshire;No;Monthly;['Sweater'];[3.4]
23;Female;New Jersey;No;Annually;['Sneakers'];[4.6]
23;Female;New York;No;Weekly;['Sunglasses'];[3.0]
23;Female;North Dakota;No;Every 3 Months;['Shorts'];[4.3]
23;Female;Rhode Island;No;Monthly;['Shorts'];[5.0]
23;Female;West Virginia;No;Bi-Weekly;['Jewelry'];[3.1]
23;Female;Wisconsin;No;Annually;['Gloves'];[4.1]
23;Male;Alabama;No;Weekly;['Shirt'];[4.2]
23;Male;Alabama;Yes;Monthly;['Sunglasses'];[4.7]
23;Male;Arkansas;No;Quarterly;['Coat'];[3.5]
23;Male;Arkansas;Yes;Monthly;['Sneakers'];[4.0]
23;Male;California;No;Bi-Weekly;['Sneakers'];[3.1]
23;Male;Connecticut;No;Quarterly;['Handbag'];[4.1]
23;Male;Delaware;No;Quarterly;['Gloves'];[5.0]
23;Male;Florida;No;Annually;['Sweater'];[4.1]
23;Male;Hawaii;No;Every 3 Months;['Sneakers'];[4.2]
23;Male;Hawaii;No;Weekly;['Hat'];[4.0]
23;Male;Idaho;No;Bi-Weekly;['Jacket', 'Dress'];[2.9, 3.4]
23;Male;Idaho;No;Every 3 Months;['Sweater'];[3.0]
23;Male;Idaho;No;Monthly;['Sneakers', 'Hat'];[2.9, 4.5]
23;Male;Illinois;No;Monthly;['Handbag'];[4.8]
23;Male;Indiana;No;Fortnightly;['Gloves'];[4.7]
23;Male;Indiana;No;Weekly;['Sandals'];[3.5]
23;Male;Iowa;No;Bi-Weekly;['Shorts'];[4.3]
23;Male;Iowa;No;Fortnightly;['Scarf'];[3.4]
23;Male;Iowa;No;Quarterly;['Shorts'];[4.4]
23;Male;Louisiana;No;Bi-Weekly;['Scarf'];[4.0]
23;Male;Louisiana;No;Fortnightly;['T-shirt'];[2.7]
23;Male;Louisiana;No;Weekly;['Pants'];[4.5]
23;Male;Minnesota;No;Fortnightly;['Gloves'];[3.9]
23;Male;Mississippi;Yes;Quarterly;['Sandals'];[4.5]
23;Male;Missouri;No;Annually;['Coat'];[3.1]
23;Male;Missouri;No;Weekly;['Skirt'];[3.3]
23;Male;Missouri;Yes;Bi-Weekly;['Jacket'];[4.0]
23;Male;Missouri;Yes;Quarterly;['Jeans'];[4.3]
23;Male;Montana;Yes;Annually;['Shoes'];[4.5]
23;Male;New Mexico;No;Monthly;['Hoodie'];[3.0]
23;Male;North Carolina;No;Quarterly;['T-shirt'];[3.2]
23;Male;North Dakota;Yes;Bi-Weekly;['Coat'];[4.6]
23;Male;Oklahoma;No;Every 3 Months;['Hoodie'];[4.6]
23;Male;Oklahoma;Yes;Weekly;['Hoodie'];[3.9]
23;Male;Oregon;No;Fortnightly;['Sneakers'];[4.8]
23;Male;Oregon;No;Monthly;['Skirt'];[4.9]
23;Male;South Dakota;No;Weekly;['Boots'];[4.9]
23;Male;Tennessee;No;Fortnightly;['Gloves'];[3.9]
23;Male;Tennessee;Yes;Weekly;['Sunglasses'];[4.9]
23;Male;Vermont;No;Fortnightly;['Backpack'];[4.6]
23;Male;Washington;No;Fortnightly;['Dress'];[3.8]
23;Male;Washington;No;Quarterly;['Pants'];[4.0]
23;Male;West Virginia;Yes;Bi-Weekly;['Gloves'];[3.9]
23;Male;Wyoming;No;Every 3 Months;['Jeans'];[4.3]
24;Female;Alabama;No;Quarterly;['Shoes'];[3.1]
24;Female;Alaska;No;Every 3 Months;['Blouse'];[2.9]
24;Female;California;No;Monthly;['T-shirt'];[4.8]
24;Female;Georgia;No;Weekly;['Shorts'];[2.8]
24;Female;Kansas;No;Bi-Weekly;['Jewelry', 'Blouse'];[3.4, 3.7]
24;Female;Kentucky;No;Bi-Weekly;['Shorts'];[3.6]
24;Female;Kentucky;No;Weekly;['Pants'];[2.6]
24;Female;Minnesota;No;Every 3 Months;['Shirt'];[3.2]
24;Female;Nevada;No;Every 3 Months;['Sweater'];[2.8]
24;Female;Nevada;No;Weekly;['Shorts'];[4.6]
24;Female;New Jersey;No;Fortnightly;['Hoodie'];[2.7]
24;Female;Oregon;No;Bi-Weekly;['Dress'];[2.8]
24;Female;South Carolina;No;Annually;['Pants'];[4.9]
24;Female;Tennessee;No;Every 3 Months;['Gloves'];[4.3]
24;Female;Utah;No;Every 3 Months;['T-shirt'];[4.5]
24;Female;Virginia;No;Annually;['Jacket'];[3.0]
24;Female;Virginia;No;Bi-Weekly;['Shorts'];[3.4]
24;Female;Washington;No;Weekly;['Coat'];[4.1]
24;Female;West Virginia;No;Weekly;['Skirt'];[4.3]
24;Female;Wisconsin;No;Fortnightly;['Belt'];[2.8]
24;Male;Alabama;No;Bi-Weekly;['Coat'];[4.3]
24;Male;Alabama;No;Quarterly;['Blouse'];[3.3]
24;Male;Alabama;Yes;Monthly;['Pants'];[3.8]
