Customer ID;Age;Gender;Location;Subscription Status;Frequency of Purchases;Item Purchased;Category;Purchase Amount (USD);Size;Color;Season;Review Rating;Shipping Type;Discount Applied;Promo Code Used;Previous Purchases;Payment Method
20;66;Male;Rhode Island;Yes;Bi-Weekly;Pants;Clothing;90;M;Green;Summer;3.3;Standard;Yes;Yes;46;Debit Card
21;21;Male;Louisiana;Yes;Every 3 Months;Pants;Clothing;51;M;Black;Winter;2.8;Express;Yes;Yes;50;Cash
22;31;Male;North Carolina;Yes;Quarterly;Pants;Clothing;62;M;Charcoal;Winter;4.1;Store Pickup;Yes;Yes;22;Debit Card
23;56;Male;California;Yes;Annually;Pants;Clothing;37;M;Peach;Summer;3.2;Store Pickup;Yes;Yes;32;Debit Card
24;31;Male;Oklahoma;Yes;Weekly;Pants;Clothing;88;XL;White;Winter;4.4;Express;Yes;Yes;40;Credit Card
25;18;Male;Florida;Yes;Weekly;Jacket;Outerwear;22;M;Green;Fall;2.9;Store Pickup;Yes;Yes;16;Debit Card
26;18;Male;Texas;Yes;Annually;Hoodie;Clothing;25;M;Silver;Summer;3.6;Express;Yes;Yes;14;PayPal
27;38;Male;Nevada;Yes;Annually;Jewelry;Accessories;20;M;Red;Spring;3.6;Next Day Air;Yes;Yes;13;Credit Card
28;56;Male;Kentucky;Yes;Every 3 Months;Shorts;Clothing;56;L;Cyan;Summer;5;Next Day Air;Yes;Yes;7;Bank Transfer
29;54;Male;North Carolina;Yes;Every 3 Months;Handbag;Accessories;94;M;Gray;Fall;4.4;Free Shipping;Yes;Yes;41;PayPal
30;31;Male;Wyoming;Yes;Weekly;Dress;Clothing;48;S;Black;Fall;4.1;Store Pickup;Yes;Yes;14;Credit Card
31;57;Male;North Carolina;Yes;Monthly;Jewelry;Accessories;31;L;Black;Winter;4.7;Standard;Yes;Yes;16;Credit Card
32;33;Male;West Virginia;Yes;Monthly;Dress;Clothing;79;L;Brown;Winter;4.7;Store Pickup;Yes;Yes;45;Venmo
33;36;Male;Kansas;Yes;Annually;Jacket;Outerwear;67;M;Silver;Summer;4.9;Free Shipping;Yes;Yes;37;Venmo
34;54;Male;Colorado;Yes;Quarterly;Pants;Clothing;38;L;Green;Summer;3.3;Store Pickup;Yes;Yes;45;Cash
35;36;Male;North Dakota;Yes;Quarterly;T-shirt;Clothing;91;L;Violet;Spring;4.6;2-Day Shipping;Yes;Yes;38;PayPal
36;54;Male;Massachusetts;Yes;Bi-Weekly;Blouse;Clothing;33;M;Cyan;Summer;4;2-Day Shipping;Yes;Yes;48;Credit Card
37;35;Male;Illinois;Yes;Fortnightly;T-shirt;Clothing;69;M;Maroon;Winter;4.6;Free Shipping;Yes;Yes;44;PayPal
38;35;Male;Indiana;Yes;Weekly;Jeans;Clothing;45;S;Cyan;Summer;2.8;Store Pickup;Yes;Yes;10;PayPal
39;29;Male;Florida;Yes;Every 3 Months;Dress;Clothing;37;M;Red;Winter;3.7;2-Day Shipping;Yes;Yes;44;Venmo
40;70;Male;Arizona;Yes;Monthly;Pants;Clothing;60;S;Turquoise;Summer;4.2;Express;Yes;Yes;18;Credit Card
41;69;Male;Louisiana;Yes;Quarterly;Handbag;Accessories;76;L;Beige;Winter;4.6;Next Day Air;Yes;Yes;31;Debit Card
42;67;Male;Alaska;Yes;Annually;Scarf;Accessories;39;M;Orange;Spring;4.5;Standard;Yes;Yes;40;Venmo
43;20;Male;Tennessee;Yes;Annually;Coat;Outerwear;100;M;Beige;Spring;4.1;Free Shipping;Yes;Yes;15;PayPal
44;25;Male;Ohio;Yes;Fortnightly;Scarf;Accessories;69;L;Lavender;Fall;3.7;Store Pickup;Yes;Yes;19;PayPal
45;39;Male;Kentucky;Yes;Weekly;Hat;Accessories;53;S;Silver;Summer;4.6;Free Shipping;Yes;Yes;45;PayPal
46;50;Male;Tennessee;Yes;Annually;Socks;Clothing;21;XL;Indigo;Fall;2.9;2-Day Shipping;Yes;Yes;25;PayPal
47;57;Male;California;Yes;Quarterly;Shirt;Clothing;43;L;White;Summer;2.9;Store Pickup;Yes;Yes;45;Cash
48;55;Male;Montana;Yes;Weekly;Jewelry;Accessories;54;M;Charcoal;Winter;4.5;Free Shipping;Yes;Yes;36;Cash
49;42;Male;Nevada;Yes;Monthly;Shirt;Clothing;55;M;Orange;Summer;2.7;Store Pickup;Yes;Yes;38;Cash
50;68;Male;New Jersey;Yes;Bi-Weekly;Hoodie;Clothing;30;S;Indigo;Spring;4.6;Next Day Air;Yes;Yes;34;Debit Card
51;49;Male;Maryland;Yes;Bi-Weekly;Blouse;Clothing;28;M;Red;Spring;3.7;Store Pickup;Yes;Yes;39;Debit Card
52;59;Male;Vermont;Yes;Quarterly;Skirt;Clothing;59;XL;Gray;Winter;4.7;2-Day Shipping;Yes;Yes;7;Credit Card
53;42;Male;Alaska;Yes;Weekly;T-shirt;Clothing;20;M;Green;Summer;2.6;Free Shipping;Yes;Yes;26;Credit Card
54;29;Male;Mississippi;Yes;Weekly;Skirt;Clothing;24;S;Peach;Winter;3.9;Next Day Air;Yes;Yes;35;Credit Card
55;47;Male;New Mexico;Yes;Bi-Weekly;Coat;Outerwear;94;M;Brown;Summer;4.2;Next Day Air;Yes;Yes;35;Debit Card
56;40;Male;South Carolina;Yes;Annually;Jacket;Outerwear;28;M;Lavender;Winter;3;2-Day Shipping;Yes;Yes;49;Credit Card
57;41;Male;Mississippi;Yes;Weekly;Backpack;Accessories;73;XL;Brown;Summer;4.7;Store Pickup;Yes;Yes;46;Credit Card
58;21;Male;West Virginia;Yes;Fortnightly;Coat;Outerwear;64;M;White;Summer;4.4;Store Pickup;Yes;Yes;17;Debit Card
59;69;Male;Missouri;Yes;Monthly;Hoodie;Clothing;54;M;Charcoal;Summer;4.2;Free Shipping;Yes;Yes;29;Venmo
60;63;Male;Louisiana;Yes;Weekly;Belt;Accessories;79;L;Yellow;Spring;4.6;Standard;Yes;Yes;4;Debit Card
61;50;Male;Idaho;Yes;Weekly;Sweater;Clothing;37;L;Brown;Summer;4;Express;Yes;Yes;17;Cash
62;55;Male;Texas;Yes;Every 3 Months;Scarf;Accessories;68;M;Orange;Winter;4.7;Store Pickup;Yes;Yes;21;Credit Card
63;30;Male;Mississippi;Yes;Fortnightly;Sneakers;Footwear;21;S;Magenta;Spring;3.8;Free Shipping;Yes;Yes;31;Credit Card
64;33;Male;Arizona;Yes;Weekly;Sunglasses;Accessories;79;L;Lavender;Winter;2.7;2-Day Shipping;Yes;Yes;43;Credit Card
65;65;Male;Alabama;Yes;Fortnightly;Boots;Footwear;83;S;Green;Fall;4.8;Standard;Yes;Yes;18;Debit Card
66;65;Male;New Jersey;Yes;Every 3 Months;Backpack;Accessories;36;M;Purple;Spring;4.8;2-Day Shipping;Yes;Yes;44;Venmo
67;31;Male;Pennsylvania;Yes;Every 3 Months;Blouse;Clothing;94;S;Magenta;Winter;4.7;2-Day Shipping;Yes;Yes;3;Venmo
68;45;Male;Connecticut;Yes;Monthly;Coat;Outerwear;33;L;Gray;Winter;4.4;Store Pickup;Yes;Yes;49;Debit Card
69;57;Male;Utah;Yes;Every 3 Months;Handbag;Accessories;46;L;Silver;Summer;3.9;Next Day Air;Yes;Yes;21;Cash
70;48;Male;Tennessee;Yes;Weekly;Belt;Accessories;70;S;Cyan;Summer;4.4;Express;Yes;Yes;5;Cash
71;22;Male;Alabama;Yes;Every 3 Months;Belt;Accessories;29;M;Magenta;Fall;4.2;Express;Yes;Yes;32;Debit Card
72;36;Male;Virginia;Yes;Annually;Dress;Clothing;48;L;Gold;Summer;2.9;Express;Yes;Yes;34;Bank Transfer
73;18;Male;Georgia;Yes;Every 3 Months;Dress;Clothing;26;M;Olive;Winter;2.9;Store Pickup;Yes;Yes;21;Bank Transfer
74;48;Male;Hawaii;Yes;Bi-Weekly;Pants;Clothing;85;M;Teal;Spring;2.7;Free Shipping;Yes;Yes;43;Bank Transfer
75;49;Male;Indiana;Yes;Monthly;Gloves;Accessories;58;L;Violet;Spring;4.5;Express;Yes;Yes;3;Cash
76;64;Male;Utah;Yes;Annually;Scarf;Accessories;85;M;Blue;Summer;2.7;Free Shipping;Yes;Yes;21;Credit Card
77;50;Male;Delaware;Yes;Monthly;Hat;Accessories;43;S;Teal;Summer;4.2;Free Shipping;Yes;Yes;32;Venmo
78;22;Male;Delaware;Yes;Fortnightly;Dress;Clothing;53;L;Gold;Summer;3.3;Next Day Air;Yes;Yes;36;Debit Card
79;50;Male;Nebraska;Yes;Fortnightly;Skirt;Clothing;91;M;Maroon;Spring;4.7;Free Shipping;Yes;Yes;50;Venmo
80;38;Male;Iowa;Yes;Every 3 Months;Jacket;Outerwear;96;M;Olive;Winter;2.6;2-Day Shipping;Yes;Yes;43;Bank Transfer
81;19;Male;New York;Yes;Every 3 Months;Sandals;Footwear;72;XL;Blue;Summer;3.3;Store Pickup;Yes;Yes;24;Credit Card
82;67;Male;Virginia;Yes;Every 3 Months;Shoes;Footwear;96;L;Maroon;Summer;2.6;Express;Yes;Yes;36;Credit Card
83;19;Male;Georgia;Yes;Every 3 Months;Pants;Clothing;28;S;Olive;Spring;4;2-Day Shipping;Yes;Yes;21;Credit Card
84;36;Male;Texas;Yes;Weekly;Dress;Clothing;40;M;Turquoise;Summer;4.1;Standard;Yes;Yes;34;Bank Transfer
85;52;Male;Arizona;Yes;Every 3 Months;Coat;Outerwear;32;S;Peach;Spring;4.4;Standard;Yes;Yes;42;Bank Transfer
86;53;Male;New Mexico;Yes;Bi-Weekly;Sunglasses;Accessories;95;M;Charcoal;Winter;4.5;Next Day Air;Yes;Yes;2;Debit Card
87;24;Male;Nevada;Yes;Bi-Weekly;Hoodie;Clothing;41;L;Pink;Spring;3.7;2-Day Shipping;Yes;Yes;47;Cash
88;52;Male;Ohio;Yes;Fortnightly;Shoes;Footwear;53;M;Green;Fall;3.7;2-Day Shipping;Yes;Yes;44;Debit Card
89;33;Male;Wyoming;Yes;Monthly;T-shirt;Clothing;47;M;Orange;Fall;3.5;Free Shipping;Yes;Yes;35;Credit Card
90;47;Male;California;Yes;Quarterly;Jacket;Outerwear;83;XL;Pink;Fall;3.6;Next Day Air;Yes;Yes;15;Cash
91;25;Male;South Carolina;Yes;Monthly;Hat;Accessories;48;L;Violet;Summer;2.9;Express;Yes;Yes;29;Credit Card
92;44;Male;South Carolina;Yes;Every 3 Months;Scarf;Accessories;99;S;Green;Winter;4.6;Standard;Yes;Yes;18;Credit Card
93;61;Male;Texas;Yes;Every 3 Months;Jacket;Outerwear;87;M;Olive;Winter;4.4;2-Day Shipping;Yes;Yes;13;Venmo
94;37;Male;Florida;Yes;Weekly;Sweater;Clothing;62;M;Purple;Fall;4.5;Standard;Yes;Yes;46;Credit Card
95;58;Male;Nevada;Yes;Weekly;Skirt;Clothing;76;S;Silver;Spring;4.6;Free Shipping;Yes;Yes;28;Credit Card
96;37;Male;Missouri;Yes;Monthly;Sneakers;Footwear;100;L;Pink;Fall;3.8;Free Shipping;Yes;Yes;48;PayPal
97;32;Male;Delaware;Yes;Every 3 Months;Gloves;Accessories;73;S;Gold;Spring;3.6;Express;Yes;Yes;43;Venmo
98;21;Male;Virginia;Yes;Annually;Shoes;Footwear;92;M;Teal;Winter;4.8;Store Pickup;Yes;Yes;37;Cash
99;20;Male;New York;Yes;Annually;Jeans;Clothing;67;XL;Teal;Spring;2.6;Next Day Air;Yes;Yes;20;Bank Transfer
100;26;Male;Missouri;Yes;Quarterly;Hoodie;Clothing;40;XL;Indigo;Summer;3.7;Express;Yes;Yes;33;Debit Card
101;62;Male;South Dakota;Yes;Fortnightly;Sunglasses;Accessories;98;M;Maroon;Fall;2.7;Express;Yes;Yes;31;Cash
102;27;Male;North Dakota;Yes;Bi-Weekly;Coat;Outerwear;85;XL;White;Spring;4.6;Express;Yes;Yes;50;Credit Card
103;51;Male;Oklahoma;Yes;Quarterly;Socks;Clothing;67;L;Violet;Winter;4.8;Next Day Air;Yes;Yes;35;Credit Card
104;54;Male;West Virginia;Yes;Bi-Weekly;Boots;Footwear;89;L;Red;Winter;4;Next Day Air;Yes;Yes;22;Venmo
105;55;Male;New Hampshire;Yes;Monthly;Sunglasses;Accessories;24;L;Pink;Spring;4.4;2-Day Shipping;Yes;Yes;1;PayPal
106;69;Male;New York;Yes;Annually;Backpack;Accessories;96;M;Charcoal;Fall;3.6;Next Day Air;Yes;Yes;4;Bank Transfer
107;64;Male;Minnesota;Yes;Monthly;Jacket;Outerwear;35;L;White;Summer;3.7;Standard;Yes;Yes;31;Credit Card
108;28;Male;Maryland;Yes;Fortnightly;Sneakers;Footwear;67;L;Olive;Winter;3.1;Next Day Air;Yes;Yes;46;PayPal
109;70;Male;Montana;Yes;Bi-Weekly;Socks;Clothing;79;L;Purple;Spring;3.4;Next Day Air;Yes;Yes;32;Bank Transfer
110;58;Male;Alabama;Yes;Fortnightly;T-shirt;Clothing;85;M;Violet;Spring;2.6;Next Day Air;Yes;Yes;43;Bank Transfer
111;56;Male;New York;Yes;Fortnightly;Backpack;Accessories;26;M;Black;Summer;4;Standard;Yes;Yes;26;Venmo
112;26;Male;Massachusetts;Yes;Annually;Belt;Accessories;75;L;Purple;Summer;5;Free Shipping;Yes;Yes;9;Credit Card
113;37;Male;Florida;Yes;Bi-Weekly;Gloves;Accessories;65;M;Red;Spring;4.3;Free Shipping;Yes;Yes;28;PayPal
114;44;Male;New Jersey;Yes;Quarterly;Hat;Accessories;54;L;Maroon;Winter;3.1;Next Day Air;Yes;Yes;20;PayPal
115;70;Male;Massachusetts;Yes;Weekly;Coat;Outerwear;95;S;Blue;Summer;3.7;Store Pickup;Yes;Yes;9;Cash
116;53;Male;Wyoming;Yes;Every 3 Months;Skirt;Clothing;94;M;Gray;Spring;3.8;Standard;Yes;Yes;48;Debit Card
117;55;Male;Virginia;Yes;Annually;Shoes;Footwear;86;S;Blue;Spring;3.4;Free Shipping;Yes;Yes;12;Venmo
118;50;Male;South Dakota;Yes;Fortnightly;Sandals;Footwear;32;L;Yellow;Summer;4.6;Express;Yes;Yes;29;Cash
119;50;Male;Kentucky;Yes;Bi-Weekly;Sweater;Clothing;45;L;Orange;Fall;4.8;2-Day Shipping;Yes;Yes;27;Cash
120;38;Male;Wyoming;Yes;Annually;Coat;Outerwear;76;M;Orange;Fall;4.3;Express;Yes;Yes;44;Cash
121;64;Male;West Virginia;Yes;Annually;Hat;Accessories;84;L;Red;Summer;4;Express;Yes;Yes;32;Bank Transfer
122;19;Male;Virginia;Yes;Fortnightly;Shorts;Clothing;72;M;Olive;Winter;4.2;Standard;Yes;Yes;11;Cash
123;40;Male;Washington;Yes;Fortnightly;Backpack;Accessories;40;L;Brown;Spring;4.8;2-Day Shipping;Yes;Yes;44;Cash
124;57;Male;Louisiana;Yes;Weekly;Sweater;Clothing;89;L;Brown;Fall;3.1;Free Shipping;Yes;Yes;46;Cash
125;44;Male;Nevada;Yes;Annually;Sweater;Clothing;86;M;Gray;Spring;3.1;Next Day Air;Yes;Yes;50;PayPal
126;49;Male;California;Yes;Every 3 Months;Shorts;Clothing;54;M;Indigo;Winter;3.6;Next Day Air;Yes;Yes;45;Venmo
127;43;Male;Mississippi;Yes;Every 3 Months;Shorts;Clothing;36;L;Pink;Spring;3.9;Store Pickup;Yes;Yes;48;Cash
128;24;Male;Mississippi;Yes;Weekly;Sweater;Clothing;89;M;Gray;Winter;4.8;Next Day Air;Yes;Yes;26;Credit Card
129;20;Male;California;Yes;Fortnightly;Scarf;Accessories;32;M;Gold;Spring;4.7;Standard;Yes;Yes;21;Credit Card
130;24;Male;Pennsylvania;Yes;Bi-Weekly;Dress;Clothing;67;XL;Olive;Summer;4.2;2-Day Shipping;Yes;Yes;49;PayPal
131;44;Male;Kentucky;Yes;Fortnightly;Scarf;Accessories;39;L;Violet;Fall;3.7;Next Day Air;Yes;Yes;13;PayPal
132;28;Male;Maine;Yes;Weekly;Skirt;Clothing;29;L;Indigo;Summer;3.9;Standard;Yes;Yes;46;Credit Card
133;30;Male;New Mexico;Yes;Weekly;Backpack;Accessories;58;M;Orange;Fall;4.7;2-Day Shipping;Yes;Yes;42;PayPal
134;52;Male;Montana;Yes;Annually;Sweater;Clothing;65;M;Violet;Winter;2.5;Next Day Air;Yes;Yes;25;Venmo
135;43;Male;Texas;Yes;Monthly;Hat;Accessories;94;L;Gray;Fall;4.9;Store Pickup;Yes;Yes;25;Cash
136;43;Male;Kansas;Yes;Quarterly;Sandals;Footwear;81;M;Purple;Fall;4.1;Express;Yes;Yes;12;PayPal
137;39;Male;South Carolina;Yes;Quarterly;Blouse;Clothing;86;M;White;Winter;3.3;Free Shipping;Yes;Yes;4;Debit Card
138;68;Male;Colorado;Yes;Weekly;Sneakers;Footwear;43;M;Turquoise;Spring;4.7;Free Shipping;Yes;Yes;38;PayPal
139;68;Male;Georgia;Yes;Weekly;Skirt;Clothing;29;M;Maroon;Winter;4.4;Store Pickup;Yes;Yes;42;Bank Transfer
140;49;Male;Florida;Yes;Annually;Coat;Outerwear;95;M;White;Fall;3.8;Store Pickup;Yes;Yes;30;Venmo
141;63;Male;North Carolina;Yes;Weekly;Shirt;Clothing;28;L;Yellow;Fall;3.9;2-Day Shipping;Yes;Yes;50;Credit Card
142;56;Male;Virginia;Yes;Weekly;Gloves;Accessories;46;M;Turquoise;Fall;4.9;Free Shipping;Yes;Yes;45;PayPal
143;37;Male;Nebraska;Yes;Fortnightly;Jacket;Outerwear;58;L;Violet;Fall;3.1;Free Shipping;Yes;Yes;33;Credit Card
144;30;Male;Missouri;Yes;Quarterly;Coat;Outerwear;48;M;Beige;Fall;2.7;Store Pickup;Yes;Yes;25;PayPal
145;19;Male;New Jersey;Yes;Monthly;Shoes;Footwear;43;M;Silver;Fall;3.2;Express;Yes;Yes;25;Cash
146;24;Male;Missouri;Yes;Quarterly;Jewelry;Accessories;95;M;Teal;Fall;4.5;Standard;Yes;Yes;44;Debit Card
147;52;Male;Colorado;Yes;Fortnightly;Skirt;Clothing;30;S;Black;Fall;4;Standard;Yes;Yes;21;Venmo
148;63;Male;Idaho;Yes;Fortnightly;Shoes;Footwear;64;M;Purple;Summer;3.5;2-Day Shipping;Yes;Yes;31;Bank Transfer
149;37;Male;Wyoming;Yes;Annually;Gloves;Accessories;90;M;Gray;Fall;2.6;Store Pickup;Yes;Yes;47;Debit Card
150;38;Male;Delaware;Yes;Monthly;Pants;Clothing;76;M;White;Summer;3.2;Free Shipping;Yes;Yes;14;PayPal
151;35;Male;California;Yes;Every 3 Months;Boots;Footwear;96;L;Cyan;Fall;4.9;Standard;Yes;Yes;17;Debit Card
152;28;Male;North Dakota;Yes;Annually;Sunglasses;Accessories;47;L;Turquoise;Fall;4.5;Next Day Air;Yes;Yes;3;Venmo
153;30;Male;South Carolina;Yes;Annually;Shirt;Clothing;85;S;Brown;Summer;4.3;Express;Yes;Yes;42;Venmo
154;69;Male;North Carolina;Yes;Annually;Hoodie;Clothing;55;M;Maroon;Winter;3.2;Standard;Yes;Yes;22;Debit Card
155;41;Male;Oklahoma;Yes;Quarterly;Dress;Clothing;98;M;Charcoal;Fall;3.6;Next Day Air;Yes;Yes;21;Venmo
156;63;Male;Maine;Yes;Quarterly;Socks;Clothing;77;S;Olive;Spring;4.3;Free Shipping;Yes;Yes;21;Bank Transfer
157;35;Male;Missouri;Yes;Annually;Shorts;Clothing;26;M;Lavender;Fall;4;Standard;Yes;Yes;40;Debit Card
158;36;Male;Vermont;Yes;Fortnightly;Hat;Accessories;68;S;Yellow;Fall;3;Next Day Air;Yes;Yes;1;Bank Transfer
159;25;Male;Connecticut;Yes;Monthly;Shirt;Clothing;73;XL;Teal;Fall;4.1;Standard;Yes;Yes;50;Bank Transfer
160;58;Male;New Hampshire;Yes;Every 3 Months;Gloves;Accessories;27;M;Charcoal;Fall;3.8;Store Pickup;Yes;Yes;39;Bank Transfer
161;27;Male;Texas;Yes;Monthly;Gloves;Accessories;23;M;Orange;Summer;4.6;Free Shipping;Yes;Yes;34;Venmo
162;65;Male;North Dakota;Yes;Fortnightly;Backpack;Accessories;49;M;Olive;Fall;3;Express;Yes;Yes;29;Venmo
163;54;Male;California;Yes;Bi-Weekly;Sunglasses;Accessories;74;M;Turquoise;Summer;3;Store Pickup;Yes;Yes;31;PayPal
164;54;Male;Virginia;Yes;Weekly;Skirt;Clothing;67;M;Purple;Summer;3.4;Standard;Yes;Yes;8;Debit Card
165;59;Male;Delaware;Yes;Fortnightly;Handbag;Accessories;65;S;Purple;Spring;2.6;Free Shipping;Yes;Yes;5;Credit Card
166;42;Male;Kentucky;Yes;Monthly;Handbag;Accessories;60;S;Yellow;Winter;2.8;Store Pickup;Yes;Yes;7;Cash
167;46;Male;Delaware;Yes;Monthly;Sneakers;Footwear;31;XL;Indigo;Fall;4;Store Pickup;Yes;Yes;30;Cash
168;33;Male;Arkansas;Yes;Every 3 Months;Gloves;Accessories;27;M;Green;Fall;4;Express;Yes;Yes;14;Credit Card
169;34;Male;Louisiana;Yes;Fortnightly;Shoes;Footwear;80;M;Magenta;Summer;3;Express;Yes;Yes;5;Cash
170;27;Male;Nevada;Yes;Every 3 Months;Jacket;Outerwear;30;S;Gold;Summer;3.3;Standard;Yes;Yes;3;PayPal
171;52;Male;Wyoming;Yes;Bi-Weekly;Shirt;Clothing;25;M;Maroon;Fall;2.6;Store Pickup;Yes;Yes;46;Venmo
172;29;Male;Virginia;Yes;Weekly;Shorts;Clothing;35;M;Blue;Summer;3.6;Store Pickup;Yes;Yes;4;Credit Card
173;54;Male;Nebraska;Yes;Bi-Weekly;Jewelry;Accessories;67;M;Violet;Summer;3.9;Next Day Air;Yes;Yes;42;Credit Card
174;25;Male;Hawaii;Yes;Annually;Hat;Accessories;46;M;Turquoise;Fall;3.4;Standard;Yes;Yes;30;Cash
175;41;Male;Vermont;Yes;Annually;Shoes;Footwear;35;L;Brown;Winter;3.5;Express;Yes;Yes;37;Venmo
176;53;Male;Oklahoma;Yes;Annually;Coat;Outerwear;86;L;Violet;Fall;2.8;Next Day Air;Yes;Yes;2;Bank Transfer
177;53;Male;New Hampshire;Yes;Quarterly;Backpack;Accessories;81;L;Black;Spring;2.7;Next Day Air;Yes;Yes;30;Credit Card
178;21;Male;Kansas;Yes;Monthly;Hoodie;Clothing;42;L;Magenta;Fall;3.7;Next Day Air;Yes;Yes;47;Bank Transfer
179;61;Male;Idaho;Yes;Quarterly;Skirt;Clothing;43;L;Lavender;Fall;4.3;2-Day Shipping;Yes;Yes;21;PayPal
180;64;Male;Illinois;Yes;Fortnightly;Boots;Footwear;31;M;Violet;Fall;4.9;Store Pickup;Yes;Yes;9;Bank Transfer
181;51;Male;South Dakota;Yes;Fortnightly;Sandals;Footwear;81;L;Green;Fall;3.3;Store Pickup;Yes;Yes;12;Debit Card
182;32;Male;Massachusetts;Yes;Weekly;Pants;Clothing;61;M;Beige;Summer;4.7;Next Day Air;Yes;Yes;4;Bank Transfer
183;38;Male;Alabama;Yes;Annually;Gloves;Accessories;96;XL;Purple;Summer;2.8;Store Pickup;Yes;Yes;10;Debit Card
184;58;Male;Ohio;Yes;Weekly;Skirt;Clothing;29;XL;Beige;Spring;3.6;2-Day Shipping;Yes;Yes;26;Credit Card
185;32;Male;Hawaii;Yes;Fortnightly;Sneakers;Footwear;33;L;Cyan;Spring;3;Express;Yes;Yes;40;Cash
186;46;Male;Wisconsin;Yes;Fortnightly;T-shirt;Clothing;32;XL;Silver;Summer;4.5;Store Pickup;Yes;Yes;34;Bank Transfer
187;39;Male;Minnesota;Yes;Annually;Backpack;Accessories;56;S;Lavender;Summer;2.9;Standard;Yes;Yes;31;Debit Card
188;19;Male;Georgia;Yes;Bi-Weekly;Shoes;Footwear;94;S;Purple;Spring;3.3;Store Pickup;Yes;Yes;1;Bank Transfer
189;50;Male;Arkansas;Yes;Bi-Weekly;Hoodie;Clothing;53;M;Pink;Spring;3.1;Express;Yes;Yes;5;Bank Transfer
190;36;Male;West Virginia;Yes;Weekly;Blouse;Clothing;82;M;Maroon;Fall;4.4;Next Day Air;Yes;Yes;4;Credit Card
191;65;Male;Indiana;Yes;Quarterly;Coat;Outerwear;70;XL;Beige;Fall;3;Free Shipping;Yes;Yes;48;Venmo
192;64;Male;Utah;Yes;Every 3 Months;Hat;Accessories;76;M;Gray;Fall;3.9;Free Shipping;Yes;Yes;29;Cash
193;46;Male;Nebraska;Yes;Bi-Weekly;Shoes;Footwear;29;L;Turquoise;Summer;2.9;Express;Yes;Yes;12;PayPal
194;36;Male;North Dakota;Yes;Annually;Belt;Accessories;100;S;Silver;Fall;3;Standard;Yes;Yes;29;Venmo
195;51;Male;Missouri;Yes;Quarterly;Backpack;Accessories;94;M;Olive;Spring;3.1;Express;Yes;Yes;15;Debit Card
196;51;Male;New York;Yes;Monthly;Jacket;Outerwear;25;M;Magenta;Fall;4.3;Free Shipping;Yes;Yes;34;Credit Card
