Age;Gender;Location;Subscription Status;Frequency of Purchases;Item Purchased
18;Male;Nevada;No;Bi-Weekly;Skirt
18;Male;New Hampshire;No;Quarterly;Blouse
18;Male;New Hampshire;Yes;Annually;Socks
18;Male;New Jersey;No;Bi-Weekly;Scarf
18;Male;New York;No;Every 3 Months;Socks
18;Male;North Dakota;No;Fortnightly;Jacket
18;Male;Ohio;Yes;Weekly;Boots
18;Male;Oklahoma;No;Monthly;Coat
18;Male;Oregon;Yes;Every 3 Months;Sweater
18;Male;Pennsylvania;No;Monthly;Coat
18;Male;Pennsylvania;No;Quarterly;Dress
18;Male;South Carolina;No;Quarterly;Boots
18;Male;South Dakota;No;Annually;Skirt
18;Male;Tennessee;No;Fortnightly;Sandals
18;Male;Texas;No;Weekly;Sandals
18;Male;Texas;Yes;Annually;Hoodie
18;Male;Vermont;No;Every 3 Months;Socks
18;Male;Virginia;No;Quarterly;Gloves
18;Male;West Virginia;No;Every 3 Months;Blouse
18;Male;Wisconsin;No;Monthly;Skirt
19;Female;Alabama;No;Quarterly;Scarf
19;Female;Alaska;No;Fortnightly;Sneakers
19;Female;Arkansas;No;Fortnightly;Shoes
19;Female;Florida;No;Quarterly;Skirt
19;Female;Georgia;No;Fortnightly;Shirt
19;Female;Iowa;No;Fortnightly;Sweater
19;Female;Iowa;No;Weekly;Backpack
19;Female;Kentucky;No;Bi-Weekly;Hat, Jewelry
19;Female;Maryland;No;Bi-Weekly;Sunglasses
19;Female;Minnesota;No;Fortnightly;Sandals
19;Female;Mississippi;No;Annually;Coat
19;Female;New Jersey;No;Bi-Weekly;Blouse
19;Female;New York;No;Monthly;Coat
19;Female;New York;No;Weekly;Sunglasses
19;Female;Ohio;No;Weekly;Dress
19;Female;Pennsylvania;No;Fortnightly;Sunglasses
19;Female;South Dakota;No;Bi-Weekly;Dress
19;Female;Texas;No;Annually;Blouse
19;Female;Texas;No;Bi-Weekly;Handbag
19;Female;Texas;No;Every 3 Months;Hoodie
19;Female;Utah;No;Annually;Jacket
19;Female;Vermont;No;Bi-Weekly;Sweater
19;Female;Virginia;No;Quarterly;Skirt
19;Female;West Virginia;No;Bi-Weekly;Coat
19;Female;West Virginia;No;Fortnightly;Coat
19;Female;Wisconsin;No;Monthly;Jewelry
19;Male;Alabama;No;Monthly;Shoes
19;Male;Alabama;Yes;Annually;Skirt
19;Male;Arizona;Yes;Every 3 Months;Sweater
19;Male;Arkansas;No;Quarterly;Pants
19;Male;Arkansas;Yes;Fortnightly;Coat
19;Male;California;No;Weekly;Belt
19;Male;Georgia;No;Every 3 Months;Boots
19;Male;Georgia;Yes;Bi-Weekly;Shoes
19;Male;Georgia;Yes;Every 3 Months;Pants
19;Male;Illinois;No;Every 3 Months;Pants
19;Male;Illinois;No;Monthly;Socks
19;Male;Kansas;No;Every 3 Months;Sneakers
19;Male;Maine;No;Every 3 Months;Jeans
19;Male;Maine;Yes;Fortnightly;Sweater
19;Male;Massachusetts;No;Fortnightly;Gloves
19;Male;Michigan;No;Annually;Dress
19;Male;Michigan;No;Fortnightly;Sunglasses
19;Male;Minnesota;No;Weekly;Handbag
19;Male;Minnesota;Yes;Quarterly;Belt
19;Male;Montana;No;Fortnightly;Shorts
19;Male;Montana;Yes;Quarterly;Pants
19;Male;Nebraska;No;Annually;Hat
19;Male;Nebraska;No;Bi-Weekly;T-shirt
19;Male;Nebraska;No;Every 3 Months;Scarf
19;Male;Nebraska;No;Fortnightly;Belt
19;Male;Nebraska;Yes;Every 3 Months;Backpack, Backpack
19;Male;Nevada;Yes;Annually;Sneakers
19;Male;Nevada;Yes;Bi-Weekly;Shoes
19;Male;New Jersey;Yes;Monthly;Shoes
19;Male;New York;Yes;Every 3 Months;Sandals
19;Male;New York;Yes;Monthly;Shirt, Gloves
19;Male;North Carolina;No;Fortnightly;Sweater, Blouse
19;Male;Oklahoma;Yes;Weekly;Jacket
19;Male;Pennsylvania;No;Every 3 Months;Scarf
19;Male;Pennsylvania;Yes;Every 3 Months;Hoodie
19;Male;Rhode Island;No;Quarterly;Blouse
19;Male;South Dakota;No;Annually;Dress
19;Male;South Dakota;No;Every 3 Months;Dress
19;Male;Tennessee;No;Quarterly;Coat
19;Male;Utah;Yes;Monthly;Shorts
19;Male;Vermont;No;Bi-Weekly;Sweater
19;Male;Vermont;No;Every 3 Months;T-shirt
19;Male;Vermont;Yes;Annually;Sneakers
19;Male;Virginia;Yes;Fortnightly;Shorts
19;Male;Washington;No;Monthly;Shirt
19;Male;Washington;No;Quarterly;Socks
19;Male;West Virginia;Yes;Monthly;Shirt
19;Male;West Virginia;Yes;Quarterly;Gloves
19;Male;Wyoming;No;Annually;Belt
19;Male;Wyoming;No;Fortnightly;Sunglasses
19;Male;Wyoming;No;Quarterly;Backpack
20;Female;Alaska;No;Quarterly;Blouse
20;Female;Arizona;No;Every 3 Months;Handbag
20;Female;Massachusetts;No;Every 3 Months;Sweater
20;Female;Mississippi;No;Fortnightly;Belt
20;Female;Nebraska;No;Fortnightly;Gloves
20;Female;Nevada;No;Every 3 Months;Belt
20;Female;Oregon;No;Every 3 Months;Sneakers
20;Female;Pennsylvania;No;Every 3 Months;Pants
20;Female;Vermont;No;Monthly;Shorts
20;Female;Wisconsin;No;Bi-Weekly;Blouse
20;Female;Wisconsin;No;Fortnightly;Handbag
20;Female;Wyoming;No;Bi-Weekly;Sweater
20;Male;Alabama;No;Annually;Pants
20;Male;Alabama;No;Bi-Weekly;Skirt
20;Male;Alaska;No;Every 3 Months;Belt
20;Male;California;Yes;Fortnightly;Scarf
20;Male;Connecticut;No;Fortnightly;Shirt
20;Male;Georgia;No;Bi-Weekly;Backpack
20;Male;Georgia;Yes;Quarterly;Jeans
20;Male;Hawaii;No;Every 3 Months;Shoes
20;Male;Hawaii;No;Weekly;Skirt
20;Male;Idaho;No;Fortnightly;Sweater
20;Male;Idaho;Yes;Every 3 Months;Belt
20;Male;Indiana;No;Annually;T-shirt
20;Male;Maine;No;Annually;Boots
20;Male;Maine;No;Every 3 Months;Coat
20;Male;Maine;No;Fortnightly;Shoes
20;Male;Massachusetts;No;Weekly;Belt
20;Male;Minnesota;No;Weekly;Skirt
20;Male;Mississippi;No;Fortnightly;Shirt
20;Male;Mississippi;Yes;Monthly;Handbag
20;Male;Missouri;No;Weekly;Dress
20;Male;Montana;No;Quarterly;Sweater
20;Male;Montana;No;Weekly;Boots
20;Male;Montana;Yes;Every 3 Months;Boots
20;Male;Nevada;No;Bi-Weekly;Jeans
20;Male;New Hampshire;No;Annually;Dress
20;Male;New Hampshire;No;Quarterly;Hoodie
20;Male;New York;Yes;Annually;Jeans
20;Male;North Dakota;No;Annually;Sweater
20;Male;North Dakota;No;Every 3 Months;Blouse
20;Male;North Dakota;No;Quarterly;Blouse, Jacket
20;Male;North Dakota;Yes;Fortnightly;Scarf
20;Male;Oklahoma;Yes;Fortnightly;Shirt
20;Male;Oregon;No;Every 3 Months;Socks
20;Male;Oregon;No;Monthly;Jeans
20;Male;Oregon;Yes;Every 3 Months;Sweater
20;Male;Oregon;Yes;Weekly;Sandals
20;Male;Pennsylvania;Yes;Every 3 Months;Skirt
20;Male;South Dakota;Yes;Weekly;Gloves
20;Male;Tennessee;No;Annually;Socks
20;Male;Tennessee;No;Fortnightly;Skirt
20;Male;Tennessee;Yes;Annually;Coat
20;Male;Utah;Yes;Bi-Weekly;Hat
20;Male;Vermont;No;Quarterly;Pants
20;Male;Vermont;No;Weekly;T-shirt
20;Male;Washington;Yes;Bi-Weekly;Belt
20;Male;West Virginia;Yes;Quarterly;Handbag
20;Male;Wisconsin;No;Annually;Boots
20;Male;Wisconsin;Yes;Bi-Weekly;Shorts
20;Male;Wyoming;Yes;Annually;Pants
21;Female;Arkansas;No;Annually;Jewelry
21;Female;Arkansas;No;Bi-Weekly;Handbag
21;Female;Colorado;No;Fortnightly;Sneakers
21;Female;Delaware;No;Annually;Pants
21;Female;Delaware;No;Every 3 Months;Socks
21;Female;Indiana;No;Every 3 Months;Sweater
21;Female;Kansas;No;Quarterly;Belt
21;Female;Maine;No;Fortnightly;Belt
21;Female;Massachusetts;No;Bi-Weekly;Hat
21;Female;New Hampshire;No;Annually;T-shirt
21;Female;New Hampshire;No;Monthly;Sandals
21;Female;New Mexico;No;Monthly;Socks
21;Female;North Carolina;No;Quarterly;Boots, Hat
21;Female;Oklahoma;No;Bi-Weekly;T-shirt
21;Female;South Carolina;No;Quarterly;Hat
21;Female;South Dakota;No;Annually;Blouse
21;Female;Vermont;No;Bi-Weekly;Sneakers
21;Female;Virginia;No;Annually;Shirt
21;Male;Alabama;No;Annually;Dress
21;Male;Alabama;Yes;Bi-Weekly;Shorts
21;Male;Alaska;No;Fortnightly;Backpack
21;Male;Alaska;Yes;Every 3 Months;Socks
21;Male;California;Yes;Annually;Jeans
21;Male;California;Yes;Every 3 Months;Dress
21;Male;California;Yes;Monthly;Pants
21;Male;Connecticut;Yes;Fortnightly;Scarf
21;Male;Florida;No;Annually;Jewelry
21;Male;Georgia;No;Annually;Jewelry
21;Male;Hawaii;No;Bi-Weekly;Blouse, Sneakers
21;Male;Hawaii;No;Weekly;Hoodie, Coat
21;Male;Idaho;No;Monthly;Backpack
21;Male;Indiana;No;Every 3 Months;Blouse
21;Male;Iowa;No;Annually;Sweater
21;Male;Iowa;No;Quarterly;Hat
21;Male;Kansas;Yes;Monthly;Hoodie
21;Male;Louisiana;Yes;Every 3 Months;Pants
21;Male;Maine;No;Annually;Hat
21;Male;Maine;No;Every 3 Months;Socks
21;Male;Maryland;No;Monthly;Blouse
21;Male;Michigan;Yes;Quarterly;Pants
21;Male;Minnesota;No;Bi-Weekly;T-shirt
21;Male;Minnesota;No;Weekly;Jewelry
21;Male;Minnesota;Yes;Monthly;Skirt
21;Male;New Hampshire;Yes;Fortnightly;Blouse
21;Male;New York;No;Bi-Weekly;Belt
21;Male;North Carolina;No;Annually;Dress
21;Male;North Carolina;No;Monthly;T-shirt, Socks
21;Male;North Carolina;Yes;Weekly;Sunglasses
21;Male;Ohio;Yes;Annually;Sneakers
21;Male;Oklahoma;Yes;Annually;Jacket
21;Male;Rhode Island;Yes;Weekly;Sandals
21;Male;South Carolina;No;Bi-Weekly;Socks
21;Male;South Carolina;Yes;Every 3 Months;T-shirt
21;Male;South Carolina;Yes;Weekly;Boots
21;Male;Tennessee;No;Weekly;Gloves
21;Male;Tennessee;Yes;Fortnightly;Sweater
21;Male;Virginia;Yes;Annually;Shoes
21;Male;Washington;No;Annually;Dress
21;Male;West Virginia;No;Annually;Coat
21;Male;West Virginia;Yes;Annually;Shirt
21;Male;West Virginia;Yes;Fortnightly;Coat
21;Male;Wisconsin;No;Quarterly;Belt
21;Male;Wisconsin;No;Weekly;Shirt
21;Male;Wyoming;Yes;Annually;Handbag
21;Male;Wyoming;Yes;Fortnightly;Coat
22;Female;Alabama;No;Weekly;Sweater
22;Female;Arkansas;No;Every 3 Months;Dress
22;Female;California;No;Weekly;T-shirt
22;Female;Georgia;No;Weekly;Sandals
22;Female;Hawaii;No;Fortnightly;Coat
22;Female;Idaho;No;Quarterly;Belt
22;Female;Illinois;No;Quarterly;Pants
22;Female;Illinois;No;Weekly;Jewelry
22;Female;Iowa;No;Bi-Weekly;Shoes
22;Female;Iowa;No;Every 3 Months;Jeans
22;Female;Iowa;No;Quarterly;Sunglasses
22;Female;Kentucky;No;Quarterly;Sunglasses
22;Female;Louisiana;No;Every 3 Months;Hoodie
22;Female;Maine;No;Monthly;Pants
22;Female;Minnesota;No;Every 3 Months;Jacket
22;Female;Missouri;No;Bi-Weekly;Jewelry
22;Female;Montana;No;Annually;Handbag
22;Female;Nevada;No;Annually;Blouse
22;Female;Nevada;No;Monthly;Dress
22;Female;New Hampshire;No;Every 3 Months;Jewelry
22;Female;New Jersey;No;Every 3 Months;Socks
22;Female;Ohio;No;Quarterly;Hat
22;Female;Oklahoma;No;Annually;Jacket
22;Female;Pennsylvania;No;Every 3 Months;Hat
22;Female;Pennsylvania;No;Quarterly;T-shirt
22;Female;Rhode Island;No;Weekly;Socks
22;Female;Texas;No;Bi-Weekly;Hat
22;Female;Virginia;No;Bi-Weekly;Shorts
22;Male;Alabama;Yes;Every 3 Months;Belt
22;Male;Arizona;Yes;Monthly;Jeans
22;Male;California;No;Every 3 Months;Jeans, Backpack
22;Male;California;No;Monthly;Scarf
22;Male;Delaware;Yes;Fortnightly;Dress
22;Male;Florida;Yes;Annually;Shirt
22;Male;Hawaii;No;Annually;Shirt
22;Male;Hawaii;No;Bi-Weekly;Handbag
22;Male;Hawaii;Yes;Annually;Sunglasses
22;Male;Hawaii;Yes;Fortnightly;Sweater
22;Male;Illinois;No;Annually;Gloves
22;Male;Kentucky;No;Fortnightly;Shoes
22;Male;Louisiana;Yes;Quarterly;Sweater
22;Male;Maine;No;Annually;Scarf
22;Male;Massachusetts;No;Bi-Weekly;Socks
22;Male;Michigan;No;Every 3 Months;Pants
22;Male;Michigan;Yes;Weekly;Hoodie
22;Male;Mississippi;No;Every 3 Months;Handbag
22;Male;Mississippi;No;Weekly;Coat
22;Male;Mississippi;Yes;Annually;Belt
22;Male;Missouri;No;Annually;Shirt
22;Male;Nebraska;No;Fortnightly;Gloves
22;Male;Nevada;No;Monthly;T-shirt
22;Male;New Mexico;No;Fortnightly;Jacket
22;Male;New Mexico;Yes;Annually;Scarf
22;Male;New York;No;Bi-Weekly;Shoes
22;Male;New York;No;Quarterly;Handbag
22;Male;North Carolina;No;Monthly;Jacket
22;Male;Pennsylvania;No;Monthly;Sneakers
22;Male;South Carolina;Yes;Monthly;Hat
22;Male;Tennessee;No;Monthly;Skirt
22;Male;Tennessee;Yes;Quarterly;Sandals
22;Male;Texas;No;Monthly;Socks
22;Male;Utah;No;Weekly;Pants
22;Male;Virginia;Yes;Fortnightly;Scarf
22;Male;Washington;Yes;Quarterly;Handbag
22;Male;West Virginia;Yes;Every 3 Months;T-shirt
23;Female;Arizona;No;Bi-Weekly;Jacket
23;Female;Arkansas;No;Every 3 Months;Jeans
23;Female;California;No;Annually;Shorts
23;Female;Connecticut;No;Bi-Weekly;Hoodie
23;Female;Georgia;No;Fortnightly;Socks
23;Female;Idaho;No;Annually;Coat
23;Female;Kansas;No;Quarterly;Sneakers
23;Female;Kentucky;No;Bi-Weekly;Sandals
23;Female;Kentucky;No;Fortnightly;Jacket
23;Female;Louisiana;No;Annually;Dress
23;Female;Maine;No;Every 3 Months;T-shirt
23;Female;Maine;No;Fortnightly;Hat
23;Female;Maine;No;Quarterly;Boots
23;Female;Maryland;No;Monthly;Shorts
23;Female;Massachusetts;No;Monthly;Shoes
23;Female;Michigan;No;Annually;Sunglasses
23;Female;Minnesota;No;Weekly;Coat
23;Female;Montana;No;Weekly;Pants
23;Female;New Hampshire;No;Monthly;Sweater
23;Female;New Jersey;No;Annually;Sneakers
23;Female;New York;No;Weekly;Sunglasses
23;Female;North Dakota;No;Every 3 Months;Shorts
23;Female;Rhode Island;No;Monthly;Shorts
23;Female;West Virginia;No;Bi-Weekly;Jewelry
23;Female;Wisconsin;No;Annually;Gloves
23;Male;Alabama;No;Weekly;Shirt
23;Male;Alabama;Yes;Monthly;Sunglasses
23;Male;Arkansas;No;Quarterly;Coat
23;Male;Arkansas;Yes;Monthly;Sneakers
23;Male;California;No;Bi-Weekly;Sneakers
23;Male;Connecticut;No;Quarterly;Handbag
23;Male;Delaware;No;Quarterly;Gloves
23;Male;Florida;No;Annually;Sweater
23;Male;Hawaii;No;Every 3 Months;Sneakers
23;Male;Hawaii;No;Weekly;Hat
23;Male;Idaho;No;Bi-Weekly;Jacket, Dress
23;Male;Idaho;No;Every 3 Months;Sweater
23;Male;Idaho;No;Monthly;Sneakers, Hat
23;Male;Illinois;No;Monthly;Handbag
23;Male;Indiana;No;Fortnightly;Gloves
23;Male;Indiana;No;Weekly;Sandals
23;Male;Iowa;No;Bi-Weekly;Shorts
23;Male;Iowa;No;Fortnightly;Scarf
23;Male;Iowa;No;Quarterly;Shorts
23;Male;Louisiana;No;Bi-Weekly;Scarf
23;Male;Louisiana;No;Fortnightly;T-shirt
23;Male;Louisiana;No;Weekly;Pants
23;Male;Minnesota;No;Fortnightly;Gloves
23;Male;Mississippi;Yes;Quarterly;Sandals
23;Male;Missouri;No;Annually;Coat
23;Male;Missouri;No;Weekly;Skirt
23;Male;Missouri;Yes;Bi-Weekly;Jacket
23;Male;Missouri;Yes;Quarterly;Jeans
23;Male;Montana;Yes;Annually;Shoes
23;Male;New Mexico;No;Monthly;Hoodie
23;Male;North Carolina;No;Quarterly;T-shirt
23;Male;North Dakota;Yes;Bi-Weekly;Coat
23;Male;Oklahoma;No;Every 3 Months;Hoodie
23;Male;Oklahoma;Yes;Weekly;Hoodie
23;Male;Oregon;No;Fortnightly;Sneakers
23;Male;Oregon;No;Monthly;Skirt
23;Male;South Dakota;No;Weekly;Boots
23;Male;Tennessee;No;Fortnightly;Gloves
23;Male;Tennessee;Yes;Weekly;Sunglasses
23;Male;Vermont;No;Fortnightly;Backpack
23;Male;Washington;No;Fortnightly;Dress
23;Male;Washington;No;Quarterly;Pants
23;Male;West Virginia;Yes;Bi-Weekly;Gloves
23;Male;Wyoming;No;Every 3 Months;Jeans
24;Female;Alabama;No;Quarterly;Shoes
24;Female;Alaska;No;Every 3 Months;Blouse
24;Female;California;No;Monthly;T-shirt
24;Female;Georgia;No;Weekly;Shorts
24;Female;Kansas;No;Bi-Weekly;Jewelry, Blouse
24;Female;Kentucky;No;Bi-Weekly;Shorts
24;Female;Kentucky;No;Weekly;Pants
24;Female;Minnesota;No;Every 3 Months;Shirt
24;Female;Nevada;No;Every 3 Months;Sweater
24;Female;Nevada;No;Weekly;Shorts
24;Female;New Jersey;No;Fortnightly;Hoodie
24;Female;Oregon;No;Bi-Weekly;Dress
24;Female;South Carolina;No;Annually;Pants
24;Female;Tennessee;No;Every 3 Months;Gloves
24;Female;Utah;No;Every 3 Months;T-shirt
24;Female;Virginia;No;Annually;Jacket
24;Female;Virginia;No;Bi-Weekly;Shorts
24;Female;Washington;No;Weekly;Coat
24;Female;West Virginia;No;Weekly;Skirt
24;Female;Wisconsin;No;Fortnightly;Belt
24;Male;Alabama;No;Bi-Weekly;Coat
24;Male;Alabama;No;Quarterly;Blouse
24;Male;Alabama;Yes;Monthly;Pants
24;Male;Alaska;No;Annually;Scarf
24;Male;Arizona;Yes;Bi-Weekly;Sneakers
24;Male;Arkansas;Yes;Monthly;Hoodie
24;Male;California;Yes;Annually;Handbag
24;Male;Delaware;Yes;Annually;Scarf
24;Male;Florida;No;Annually;Sandals
24;Male;Hawaii;Yes;Every 3 Months;Jacket
24;Male;Idaho;No;Weekly;Pants
24;Male;Illinois;No;Bi-Weekly;Handbag
24;Male;Illinois;Yes;Bi-Weekly;Gloves
24;Male;Kentucky;No;Annually;Dress
24;Male;Maine;Yes;Weekly;Jacket
24;Male;Maryland;No;Every 3 Months;Skirt, Skirt
24;Male;Mississippi;Yes;Weekly;Sweater
24;Male;Missouri;No;Quarterly;Jewelry
24;Male;Missouri;Yes;Quarterly;Jewelry
24;Male;Missouri;Yes;Weekly;T-shirt
24;Male;Montana;No;Bi-Weekly;Gloves
24;Male;Montana;No;Quarterly;T-shirt
24;Male;Nebraska;Yes;Fortnightly;Coat
24;Male;Nevada;Yes;Bi-Weekly;Hoodie, Socks
24;Male;New Hampshire;No;Monthly;Shirt
24;Male;New Jersey;No;Quarterly;Belt
24;Male;New Mexico;Yes;Bi-Weekly;Hat
24;Male;North Dakota;No;Every 3 Months;Belt
24;Male;Ohio;No;Every 3 Months;T-shirt
24;Male;Oklahoma;Yes;Monthly;Handbag
24;Male;Oregon;No;Every 3 Months;Belt
24;Male;Oregon;Yes;Every 3 Months;Blouse
24;Male;Pennsylvania;Yes;Bi-Weekly;Dress
24;Male;Pennsylvania;Yes;Weekly;Sweater
24;Male;South Dakota;No;Bi-Weekly;Backpack
24;Male;Texas;No;Bi-Weekly;Sweater
24;Male;Texas;No;Quarterly;Backpack
24;Male;Texas;Yes;Annually;Shirt
24;Male;Utah;No;Annually;Shirt
24;Male;Utah;No;Monthly;Jeans
24;Male;Vermont;No;Monthly;Sweater
24;Male;Vermont;No;Quarterly;Belt
24;Male;Virginia;No;Bi-Weekly;Sneakers
24;Male;Virginia;Yes;Monthly;Skirt
24;Male;Wisconsin;Yes;Fortnightly;T-shirt
25;Female;Alabama;No;Every 3 Months;Sandals
25;Female;California;No;Annually;Skirt
25;Female;Delaware;No;Quarterly;Blouse
25;Female;Georgia;No;Monthly;Sneakers
25;Female;Illinois;No;Every 3 Months;Socks
25;Female;Indiana;No;Fortnightly;Boots
25;Female;Iowa;No;Annually;Jewelry
25;Female;Kansas;No;Bi-Weekly;Boots
25;Female;Mississippi;No;Fortnightly;Sneakers
25;Female;Nebraska;No;Every 3 Months;Shorts
25;Female;Nebraska;No;Fortnightly;Skirt
25;Female;Nevada;No;Quarterly;Coat
25;Female;South Carolina;No;Weekly;Backpack
25;Female;South Dakota;No;Annually;Sneakers
25;Female;Tennessee;No;Quarterly;Scarf
25;Female;Utah;No;Annually;Boots
25;Female;Washington;No;Quarterly;Socks
25;Female;Washington;No;Weekly;Blouse
25;Female;West Virginia;No;Annually;Sandals
25;Female;Wisconsin;No;Quarterly;Sweater
25;Female;Wyoming;No;Quarterly;Sneakers
25;Male;Alabama;No;Quarterly;Hat
25;Male;Alabama;Yes;Bi-Weekly;Sunglasses
25;Male;Alaska;Yes;Weekly;Shorts
25;Male;Arizona;No;Annually;Backpack
25;Male;Arkansas;No;Weekly;Hat
25;Male;Arkansas;Yes;Annually;Jacket
25;Male;Arkansas;Yes;Quarterly;Pants
25;Male;California;No;Monthly;Sunglasses
25;Male;California;No;Weekly;Gloves
25;Male;California;Yes;Monthly;Shorts
25;Male;Colorado;No;Fortnightly;Skirt, Skirt
25;Male;Connecticut;No;Monthly;Sandals
25;Male;Connecticut;No;Quarterly;Jewelry
25;Male;Connecticut;Yes;Monthly;Shirt, Boots
25;Male;Georgia;No;Fortnightly;Backpack
25;Male;Hawaii;Yes;Annually;Hat
25;Male;Idaho;No;Every 3 Months;Sneakers
25;Male;Illinois;No;Monthly;Hat
25;Male;Illinois;No;Quarterly;Dress, Shirt
25;Male;Illinois;Yes;Every 3 Months;Hoodie
25;Male;Indiana;Yes;Annually;Gloves
25;Male;Indiana;Yes;Weekly;Sandals
25;Male;Iowa;No;Quarterly;Belt
25;Male;Kansas;No;Annually;Shorts
25;Male;Kansas;No;Every 3 Months;Coat
25;Male;Kentucky;No;Annually;Sweater
25;Male;Kentucky;Yes;Monthly;Jewelry
25;Male;Louisiana;Yes;Annually;Jewelry
25;Male;Maine;Yes;Every 3 Months;Jacket
25;Male;Maryland;Yes;Annually;T-shirt
25;Male;Massachusetts;No;Bi-Weekly;Shorts
25;Male;Massachusetts;No;Weekly;Skirt
25;Male;Michigan;No;Annually;Shorts
25;Male;Michigan;No;Quarterly;Dress
25;Male;Michigan;Yes;Monthly;Scarf
25;Male;Mississippi;No;Weekly;Sunglasses
25;Male;Montana;No;Quarterly;Scarf
25;Male;Nebraska;No;Every 3 Months;Sandals
25;Male;Nevada;No;Bi-Weekly;Shorts
25;Male;Nevada;Yes;Fortnightly;Handbag
25;Male;New Hampshire;No;Annually;Blouse
25;Male;New Mexico;No;Every 3 Months;Pants
25;Male;New Mexico;No;Fortnightly;Boots
25;Male;New Mexico;Yes;Fortnightly;Belt
25;Male;New York;Yes;Monthly;T-shirt
25;Male;Ohio;Yes;Fortnightly;Scarf
25;Male;Oklahoma;No;Weekly;Boots
25;Male;Pennsylvania;Yes;Fortnightly;Sneakers
25;Male;Pennsylvania;Yes;Monthly;Dress
25;Male;Rhode Island;Yes;Every 3 Months;Gloves
25;Male;South Carolina;Yes;Monthly;Hat
25;Male;South Dakota;Yes;Fortnightly;Skirt
25;Male;Texas;No;Monthly;Scarf
25;Male;Utah;No;Fortnightly;Jewelry
25;Male;Vermont;No;Every 3 Months;Sunglasses
25;Male;Vermont;No;Weekly;Skirt, Dress
25;Male;Virginia;No;Every 3 Months;Hat
25;Male;West Virginia;No;Fortnightly;Sandals
25;Male;Wyoming;No;Annually;Backpack
25;Male;Wyoming;No;Bi-Weekly;Hoodie
26;Female;Arizona;No;Annually;Coat
26;Female;California;No;Quarterly;Backpack
26;Female;Connecticut;No;Fortnightly;Sunglasses
26;Female;Connecticut;No;Monthly;Gloves
26;Female;Florida;No;Quarterly;Skirt
26;Female;Florida;No;Weekly;Skirt
26;Female;Georgia;No;Weekly;Dress
26;Female;Illinois;No;Annually;Coat
26;Female;Kansas;No;Bi-Weekly;Sandals
26;Female;Kentucky;No;Fortnightly;Blouse
26;Female;Kentucky;No;Monthly;Shirt
26;Female;Massachusetts;No;Fortnightly;Boots
26;Female;New York;No;Quarterly;Jewelry
26;Female;Oklahoma;No;Bi-Weekly;Hat
26;Female;Oklahoma;No;Fortnightly;Jacket
26;Female;Oregon;No;Bi-Weekly;Shirt
26;Female;Rhode Island;No;Bi-Weekly;Sweater
26;Female;Rhode Island;No;Monthly;Sandals
26;Female;South Carolina;No;Every 3 Months;Sweater
26;Female;South Dakota;No;Bi-Weekly;Scarf
26;Female;South Dakota;No;Every 3 Months;Backpack
26;Female;Utah;No;Bi-Weekly;Dress
26;Female;Vermont;No;Bi-Weekly;Backpack
